topic_id,topic_name,subfield_id,subfield_name,field_id,field_name,domain_id,domain_name
T10577,Hydrology and Sediment Transport Processes,2303,Ecology,23,Environmental Science,3,Physical Sciences
T10691,Retinal Development and Disorders,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T11056,Physiological and biochemical adaptations,2303,Ecology,23,Environmental Science,3,Physical Sciences
T13337,Korean Peninsula Historical and Political Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T10148,Advanced MIMO Systems Optimization,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences
T12996,Cancer Research and Treatments,1305,Biotechnology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T10688,Image and Signal Denoising Methods,1707,Computer Vision and Pattern Recognition,17,Computer Science,3,Physical Sciences
T12743,Spanish Culture and Identity,1211,Philosophy,12,Arts and Humanities,2,Social Sciences
T10536,Endodontics and Root Canal Treatments,3504,Oral Surgery,35,Dentistry,4,Health Sciences
T10598,Cardiac pacing and defibrillation studies,2705,Cardiology and Cardiovascular Medicine,27,Medicine,4,Health Sciences
T10229,Geometric Analysis and Curvature Flows,2604,Applied Mathematics,26,Mathematics,3,Physical Sciences
T11122,Online Learning and Analytics,1706,Computer Science Applications,17,Computer Science,3,Physical Sciences
T10509,"Religion, Spirituality, and Psychology",3306,Health,33,Social Sciences,2,Social Sciences
T12972,German Colonialism and Identity Studies,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences
T10438,"Energy, Environment, Economic Growth",2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences
T14166,European Monetary and Fiscal Policies,2003,Finance,20,"Economics, Econometrics and Finance",2,Social Sciences
T11927,Plant Reproductive Biology,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T13831,Archaeological and Geological Studies,1204,Archeology,12,Arts and Humanities,2,Social Sciences
T10441,Muscle Physiology and Disorders,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T10104,Nanofluid Flow and Heat Transfer,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences
T14090,Health and Conflict Studies,3600,General Health Professions,36,Health Professions,4,Health Sciences
T10433,Carcinogens and Genotoxicity Assessment,1306,Cancer Research,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T10662,Ultrasonics and Acoustic Wave Propagation,2211,Mechanics of Materials,22,Engineering,3,Physical Sciences
T11007,Hybrid Renewable Energy Systems,2102,Energy Engineering and Power Technology,21,Energy,3,Physical Sciences
T10987,Microfinance and Financial Inclusion,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences
T14099,Synthesis and Characterization of Heterocyclic Compounds,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences
T10670,Aluminum Alloy Microstructure Properties,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences
T10142,Formal Methods in Verification,1703,Computational Theory and Mathematics,17,Computer Science,3,Physical Sciences
T12432,Arctic and Russian Policy Studies,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T10191,Robotics and Sensor-Based Localization,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences
T11692,Noise Effects and Management,3616,Speech and Hearing,36,Health Professions,4,Health Sciences
T10923,Force Microscopy Techniques and Applications,3107,"Atomic and Molecular Physics, and Optics",31,Physics and Astronomy,3,Physical Sciences
T13970,Pharmacy and Medical Practices,3004,Pharmacology,30,"Pharmacology, Toxicology and Pharmaceutics",1,Life Sciences
T11155,Toxoplasma gondii Research Studies,2405,Parasitology,24,Immunology and Microbiology,1,Life Sciences
T11244,Climate Change and Health Impacts,2307,"Health, Toxicology and Mutagenesis",23,Environmental Science,3,Physical Sciences
T11433,Emotional Intelligence and Performance,3207,Social Psychology,32,Psychology,2,Social Sciences
T10570,Drug Transport and Resistance Mechanisms,2730,Oncology,27,Medicine,4,Health Sciences
T11146,Hormonal and reproductive studies,2712,"Endocrinology, Diabetes and Metabolism",27,Medicine,4,Health Sciences
T10208,Labor market dynamics and wage inequality,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences
T10507,Biodiesel Production and Applications,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences
T10552,Colorectal Cancer Screening and Detection,2730,Oncology,27,Medicine,4,Health Sciences
T10426,Child Abuse and Trauma,3203,Clinical Psychology,32,Psychology,2,Social Sciences
T10635,Hydraulic Fracturing and Reservoir Analysis,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences
T13796,Neurological Disorders and Treatments,2808,Neurology,28,Neuroscience,1,Life Sciences
T13342,Art History and Market Analysis,1213,Visual Arts and Performing Arts,12,Arts and Humanities,2,Social Sciences
T11536,Consumer Retail Behavior Studies,1406,Marketing,14,"Business, Management and Accounting",2,Social Sciences
T11578,Plant Pathogenic Bacteria Studies,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences
T10449,Renal cell carcinoma treatment,2740,Pulmonary and Respiratory Medicine,27,Medicine,4,Health Sciences
T11999,Empathy and Medical Education,2738,Psychiatry and Mental health,27,Medicine,4,Health Sciences
T12630,African Botany and Ecology Studies,1107,Forestry,11,Agricultural and Biological Sciences,1,Life Sciences
T11395,Radiopharmaceutical Chemistry and Applications,2741,"Radiology, Nuclear Medicine and Imaging",27,Medicine,4,Health Sciences
T13133,Architecture and Art History Studies,1213,Visual Arts and Performing Arts,12,Arts and Humanities,2,Social Sciences
T11350,Sex work and related issues,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T11138,Tribology and Lubrication Engineering,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences
T11658,Esophageal and GI Pathology,2746,Surgery,27,Medicine,4,Health Sciences
T10335,Colorectal Cancer Surgical Treatments,2730,Oncology,27,Medicine,4,Health Sciences
T11855,Gastrointestinal disorders and treatments,2746,Surgery,27,Medicine,4,Health Sciences
T10677,Attachment and Relationship Dynamics,3207,Social Psychology,32,Psychology,2,Social Sciences
T11195,Simulation Techniques and Applications,1803,Management Science and Operations Research,18,Decision Sciences,2,Social Sciences
T10981,Cytomegalovirus and herpesvirus research,2713,Epidemiology,27,Medicine,4,Health Sciences
T11221,Bone health and treatments,2730,Oncology,27,Medicine,4,Health Sciences
T11825,Catalysis and Oxidation Reactions,1503,Catalysis,15,Chemical Engineering,3,Physical Sciences
T10763,Digital Transformation in Industry,2209,Industrial and Manufacturing Engineering,22,Engineering,3,Physical Sciences
T12616,Religious Education and Schools,3304,Education,33,Social Sciences,2,Social Sciences
T11467,Trauma and Emergency Care Studies,2711,Emergency Medicine,27,Medicine,4,Health Sciences
T10520,Mycotoxins in Agriculture and Food,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences
T13772,Geomechanics and Mining Engineering,2211,Mechanics of Materials,22,Engineering,3,Physical Sciences
T12286,Erythrocyte Function and Pathophysiology,2737,Physiology,27,Medicine,4,Health Sciences
T10390,Ovarian function and disorders,2743,Reproductive Medicine,27,Medicine,4,Health Sciences
T10700,Metal Forming Simulation Techniques,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences
T10771,Wound Healing and Treatments,2742,Rehabilitation,27,Medicine,4,Health Sciences
T10992,Forensic Anthropology and Bioarchaeology Studies,1204,Archeology,12,Arts and Humanities,2,Social Sciences
T13222,"Caribbean history, culture, and politics",3316,Cultural Studies,33,Social Sciences,2,Social Sciences
T11660,Blood groups and transfusion,2720,Hematology,27,Medicine,4,Health Sciences
T12852,Chemical Thermodynamics and Molecular Structure,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences
T11549,Synthetic Organic Chemistry Methods,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences
T14018,Agriculture and Biological Studies,1100,General Agricultural and Biological Sciences,11,Agricultural and Biological Sciences,1,Life Sciences
T11065,Insect Pest Control Strategies,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences
T14337,"Religious, Philosophical, and Educational Studies",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T10904,Embedded Systems Design Techniques,1708,Hardware and Architecture,17,Computer Science,3,Physical Sciences
T10822,Acoustic Wave Phenomena Research,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences
T10877,Allergic Rhinitis and Sensitization,2723,Immunology and Allergy,27,Medicine,4,Health Sciences
T14061,Educational Practices and Policies,3304,Education,33,Social Sciences,2,Social Sciences
T11247,Plant nutrient uptake and metabolism,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences
T11673,Advanced Topics in Algebra,2602,Algebra and Number Theory,26,Mathematics,3,Physical Sciences
T13135,"Communism, Protests, Social Movements",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T10588,Mathematical Dynamics and Fractals,2610,Mathematical Physics,26,Mathematics,3,Physical Sciences
T14378,Entomological Studies and Ecology,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences
T14193,Literature and Cultural Memory,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences
T10641,Central Venous Catheters and Hemodialysis,3604,Emergency Medical Services,36,Health Professions,4,Health Sciences
T11112,Viral Infections and Immunology Research,2705,Cardiology and Cardiovascular Medicine,27,Medicine,4,Health Sciences
T10063,Nanoparticle-Based Drug Delivery,2502,Biomaterials,25,Materials Science,3,Physical Sciences
T11047,Gender Diversity and Inequality,3318,Gender Studies,33,Social Sciences,2,Social Sciences
T12480,Health and Wellbeing Research,3600,General Health Professions,36,Health Professions,4,Health Sciences
T12132,Hymenoptera taxonomy and phylogeny,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences
T10344,Management and Organizational Studies,1407,Organizational Behavior and Human Resource Management,14,"Business, Management and Accounting",2,Social Sciences
T10420,Intracranial Aneurysms: Treatment and Complications,2728,Neurology,27,Medicine,4,Health Sciences
T10921,Neutrino Physics Research,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences
T14462,Educational Methods and Impacts,3304,Education,33,Social Sciences,2,Social Sciences
T13113,Engineering Technology and Methodologies,2209,Industrial and Manufacturing Engineering,22,Engineering,3,Physical Sciences
T11459,Arctic and Antarctic ice dynamics,1902,Atmospheric Science,19,Earth and Planetary Sciences,3,Physical Sciences
T10882,Cardiomyopathy and Myosin Studies,2705,Cardiology and Cardiovascular Medicine,27,Medicine,4,Health Sciences
T13134,Latin American Literature Studies,3316,Cultural Studies,33,Social Sciences,2,Social Sciences
T13745,Media and Digital Communication,1705,Computer Networks and Communications,17,Computer Science,3,Physical Sciences
T13447,Educational and Psychological Assessments,3204,Developmental and Educational Psychology,32,Psychology,2,Social Sciences
T10919,Neurological disorders and treatments,2728,Neurology,27,Medicine,4,Health Sciences
T12770,Amino Acid Enzymes and Metabolism,1303,Biochemistry,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T13269,Orthoptera Research and Taxonomy,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences
T10275,2D Materials and Applications,2505,Materials Chemistry,25,Materials Science,3,Physical Sciences
T12206,Vibration and Dynamic Analysis,2207,Control and Systems Engineering,22,Engineering,3,Physical Sciences
T10452,Iron Metabolism and Disorders,2720,Hematology,27,Medicine,4,Health Sciences
T10799,Data Visualization and Analytics,1707,Computer Vision and Pattern Recognition,17,Computer Science,3,Physical Sciences
T14257,Advanced Measurement and Detection Methods,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences
T10583,Cancer-related Molecular Pathways,2730,Oncology,27,Medicine,4,Health Sciences
T10671,Gastroesophageal reflux and treatments,2715,Gastroenterology,27,Medicine,4,Health Sciences
T12872,Philippine History and Culture,3314,Anthropology,33,Social Sciences,2,Social Sciences
T10136,Statistical Methods and Inference,2613,Statistics and Probability,26,Mathematics,3,Physical Sciences
T11135,Virology and Viral Diseases,2713,Epidemiology,27,Medicine,4,Health Sciences
T11942,Transportation and Mobility Innovations,2203,Automotive Engineering,22,Engineering,3,Physical Sciences
T13327,"Arts, Culture, and Music Studies",3316,Cultural Studies,33,Social Sciences,2,Social Sciences
T11353,Venomous Animal Envenomation and Studies,1311,Genetics,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T10221,Composite Structure Analysis and Optimization,2211,Mechanics of Materials,22,Engineering,3,Physical Sciences
T13270,QR Code Applications and Technologies,1710,Information Systems,17,Computer Science,3,Physical Sciences
T11740,Geochemistry and Elemental Analysis,1906,Geochemistry and Petrology,19,Earth and Planetary Sciences,3,Physical Sciences
T11375,Geotechnical Engineering and Soil Stabilization,2205,Civil and Structural Engineering,22,Engineering,3,Physical Sciences
T11510,Reproductive System and Pregnancy,2403,Immunology,24,Immunology and Microbiology,1,Life Sciences
T11995,"FinTech, Crowdfunding, Digital Finance",1404,Management Information Systems,14,"Business, Management and Accounting",2,Social Sciences
T10416,Traumatic Brain Injury Research,2713,Epidemiology,27,Medicine,4,Health Sciences
T13364,"Digitalization, Law, and Regulation",3308,Law,33,Social Sciences,2,Social Sciences
T10176,Mesenchymal stem cell research,2716,Genetics,27,Medicine,4,Health Sciences
T11379,Rheology and Fluid Dynamics Studies,1507,Fluid Flow and Transfer Processes,15,Chemical Engineering,3,Physical Sciences
T10985,Sleep and Wakefulness Research,2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences
T10375,Pharmacogenetics and Drug Metabolism,3004,Pharmacology,30,"Pharmacology, Toxicology and Pharmaceutics",1,Life Sciences
T10125,Advanced Wireless Communication Techniques,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences
T11209,Cardiovascular and exercise physiology,2707,Complementary and alternative medicine,27,Medicine,4,Health Sciences
T12667,Economic and Technological Developments in Russia,3303,Development,33,Social Sciences,2,Social Sciences
T10558,Advancements in Semiconductor Devices and Circuit Design,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences
T11090,Dark Matter and Cosmic Phenomena,3106,Nuclear and High Energy Physics,31,Physics and Astronomy,3,Physical Sciences
T11295,Counseling Practices and Supervision,3207,Social Psychology,32,Psychology,2,Social Sciences
T10336,Cancer Cells and Metastasis,2730,Oncology,27,Medicine,4,Health Sciences
T13174,American and British Literature Analysis,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences
T10447,Environmental Toxicology and Ecotoxicology,2307,"Health, Toxicology and Mutagenesis",23,Environmental Science,3,Physical Sciences
T10834,Welding Techniques and Residual Stresses,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences
T10600,Reproductive Health and Contraception,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences
T10935,Endometriosis Research and Treatment,2743,Reproductive Medicine,27,Medicine,4,Health Sciences
T10304,Geometric and Algebraic Topology,2608,Geometry and Topology,26,Mathematics,3,Physical Sciences
T11028,Social Work Education and Practice,3321,Public Administration,33,Social Sciences,2,Social Sciences
T10562,Total Knee Arthroplasty Outcomes,2746,Surgery,27,Medicine,4,Health Sciences
T10352,Physical Activity and Health,2737,Physiology,27,Medicine,4,Health Sciences
T11460,Analytical Methods in Pharmaceuticals,1602,Analytical Chemistry,16,Chemistry,3,Physical Sciences
T10321,Quantum Dots Synthesis And Properties,2505,Materials Chemistry,25,Materials Science,3,Physical Sciences
T11541,Neuroendocrine regulation and behavior,3207,Social Psychology,32,Psychology,2,Social Sciences
T12842,"Youth, Drugs, and Violence",3317,Demography,33,Social Sciences,2,Social Sciences
T10519,Advanced Proteomics Techniques and Applications,1607,Spectroscopy,16,Chemistry,3,Physical Sciences
T10949,Genetic Neurodegenerative Diseases,2804,Cellular and Molecular Neuroscience,28,Neuroscience,1,Life Sciences
T12652,International Maritime Law Issues,2308,"Management, Monitoring, Policy and Law",23,Environmental Science,3,Physical Sciences
T11075,Insect Resistance and Genetics,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T10045,Organic Electronics and Photovoltaics,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences
T11223,Maritime Ports and Logistics,2209,Industrial and Manufacturing Engineering,22,Engineering,3,Physical Sciences
T12171,Open Education and E-Learning,1706,Computer Science Applications,17,Computer Science,3,Physical Sciences
T12728,Demographic Trends and Gender Preferences,3318,Gender Studies,33,Social Sciences,2,Social Sciences
T10889,Soil erosion and sediment transport,1111,Soil Science,11,Agricultural and Biological Sciences,1,Life Sciences
T10786,Maternal Mental Health During Pregnancy and Postpartum,2739,"Public Health, Environmental and Occupational Health",27,Medicine,4,Health Sciences
T11663,Viral Infectious Diseases and Gene Expression in Insects,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T13334,South Asian Cinema and Culture,1213,Visual Arts and Performing Arts,12,Arts and Humanities,2,Social Sciences
T10052,Medical Image Segmentation Techniques,1707,Computer Vision and Pattern Recognition,17,Computer Science,3,Physical Sciences
T12043,Insect behavior and control techniques,1109,Insect Science,11,Agricultural and Biological Sciences,1,Life Sciences
T10628,China's Socioeconomic Reforms and Governance,3320,Political Science and International Relations,33,Social Sciences,2,Social Sciences
T11181,Advanced Data Storage Technologies,1705,Computer Networks and Communications,17,Computer Science,3,Physical Sciences
T12147,Urban and Rural Development Challenges,3322,Urban Studies,33,Social Sciences,2,Social Sciences
T11712,Intergenerational Family Dynamics and Caregiving,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T13283,Mental Health Research Topics,3205,Experimental and Cognitive Psychology,32,Psychology,2,Social Sciences
T11129,Photochemistry and Electron Transfer Studies,1606,Physical and Theoretical Chemistry,16,Chemistry,3,Physical Sciences
T10797,Accounting and Organizational Management,1404,Management Information Systems,14,"Business, Management and Accounting",2,Social Sciences
T13123,Advances in Oncology and Radiotherapy,2741,"Radiology, Nuclear Medicine and Imaging",27,Medicine,4,Health Sciences
T10072,Science Education and Pedagogy,3304,Education,33,Social Sciences,2,Social Sciences
T12408,Educational Innovations and Challenges,1710,Information Systems,17,Computer Science,3,Physical Sciences
T10365,Gastrointestinal motility and disorders,2715,Gastroenterology,27,Medicine,4,Health Sciences
T10575,Wireless Communication Networks Research,1705,Computer Networks and Communications,17,Computer Science,3,Physical Sciences
T10475,Psychological Well-being and Life Satisfaction,3207,Social Psychology,32,Psychology,2,Social Sciences
T13169,Consumer Perception and Purchasing Behavior,1406,Marketing,14,"Business, Management and Accounting",2,Social Sciences
T10505,Pluripotent Stem Cells Research,1312,Molecular Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T10619,Esophageal Cancer Research and Treatment,2746,Surgery,27,Medicine,4,Health Sciences
T10665,Cystic Fibrosis Research Advances,2740,Pulmonary and Respiratory Medicine,27,Medicine,4,Health Sciences
T11291,Intraocular Surgery and Lenses,2731,Ophthalmology,27,Medicine,4,Health Sciences
T13712,Kantian Philosophy and Modern Interpretations,1211,Philosophy,12,Arts and Humanities,2,Social Sciences
T11012,Gas Dynamics and Kinetic Theory,2604,Applied Mathematics,26,Mathematics,3,Physical Sciences
T10323,Analog and Mixed-Signal Circuit Design,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences
T11963,Impact of Light on Environment and Health,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences
T11141,Childhood Cancer Survivors' Quality of Life,2735,"Pediatrics, Perinatology and Child Health",27,Medicine,4,Health Sciences
T10863,Voice and Speech Disorders,2737,Physiology,27,Medicine,4,Health Sciences
T11839,Hormonal Regulation and Hypertension,2712,"Endocrinology, Diabetes and Metabolism",27,Medicine,4,Health Sciences
T10729,Electrospun Nanofibers in Biomedical Applications,2502,Biomaterials,25,Materials Science,3,Physical Sciences
T10999,Organ Transplantation Techniques and Outcomes,2746,Surgery,27,Medicine,4,Health Sciences
T12571,Soybean genetics and cultivation,1110,Plant Science,11,Agricultural and Biological Sciences,1,Life Sciences
T12437,"Balkans: History, Politics, Society",3316,Cultural Studies,33,Social Sciences,2,Social Sciences
T12019,Calibration and Measurement Techniques,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences
T12697,Water Quality Monitoring Technologies,2312,Water Science and Technology,23,Environmental Science,3,Physical Sciences
T10272,Mental Health Treatment and Access,3207,Social Psychology,32,Psychology,2,Social Sciences
T11261,Quantum chaos and dynamical systems,3109,Statistical and Nonlinear Physics,31,Physics and Astronomy,3,Physical Sciences
T13417,Biomedical Ethics and Regulation,2737,Physiology,27,Medicine,4,Health Sciences
T10353,Zeolite Catalysis and Synthesis,1604,Inorganic Chemistry,16,Chemistry,3,Physical Sciences
T10446,"Income, Poverty, and Inequality",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T12041,Public Health Policies and Education,3600,General Health Professions,36,Health Professions,4,Health Sciences
T10776,Spinal Fractures and Fixation Techniques,2746,Surgery,27,Medicine,4,Health Sciences
T11560,Animal Disease Management and Epidemiology,1102,Agronomy and Crop Science,11,Agricultural and Biological Sciences,1,Life Sciences
T11635,Poisoning and overdose treatments,2711,Emergency Medicine,27,Medicine,4,Health Sciences
T11309,Music and Audio Processing,1711,Signal Processing,17,Computer Science,3,Physical Sciences
T11185,Integrated Energy Systems Optimization,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences
T10040,Adaptive Control of Nonlinear Systems,2207,Control and Systems Engineering,22,Engineering,3,Physical Sciences
T10673,Gestational Diabetes Research and Management,2729,Obstetrics and Gynecology,27,Medicine,4,Health Sciences
T10174,Animal Behavior and Reproduction,1105,"Ecology, Evolution, Behavior and Systematics",11,Agricultural and Biological Sciences,1,Life Sciences
T13144,Theology and Philosophy of Evil,1211,Philosophy,12,Arts and Humanities,2,Social Sciences
T10292,Acute Myocardial Infarction Research,2705,Cardiology and Cardiovascular Medicine,27,Medicine,4,Health Sciences
T12190,Innovations in Concrete and Construction Materials,2215,Building and Construction,22,Engineering,3,Physical Sciences
T10675,Mechanical Circulatory Support Devices,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences
T12120,Air Quality Monitoring and Forecasting,2305,Environmental Engineering,23,Environmental Science,3,Physical Sciences
T10672,Design Education and Practice,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences
T11187,Nonlinear Dynamics and Pattern Formation,1705,Computer Networks and Communications,17,Computer Science,3,Physical Sciences
T10538,Data Mining Algorithms and Applications,1710,Information Systems,17,Computer Science,3,Physical Sciences
T13200,Spacecraft and Cryogenic Technologies,2202,Aerospace Engineering,22,Engineering,3,Physical Sciences
T11190,3D Printing in Biomedical Research,2204,Biomedical Engineering,22,Engineering,3,Physical Sciences
T13035,Human Rights and Development,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T11491,CAR-T cell therapy research,2730,Oncology,27,Medicine,4,Health Sciences
T13887,Augustinian Studies and Theology,1211,Philosophy,12,Arts and Humanities,2,Social Sciences
T11266,Neuroinflammation and Neurodegeneration Mechanisms,2808,Neurology,28,Neuroscience,1,Life Sciences
T10563,Corneal surgery and disorders,2741,"Radiology, Nuclear Medicine and Imaging",27,Medicine,4,Health Sciences
T10115,Corporate Social Responsibility Reporting,1408,Strategy and Management,14,"Business, Management and Accounting",2,Social Sciences
T10896,Homotopy and Cohomology in Algebraic Topology,2610,Mathematical Physics,26,Mathematics,3,Physical Sciences
T10870,Interstitial Lung Diseases and Idiopathic Pulmonary Fibrosis,2740,Pulmonary and Respiratory Medicine,27,Medicine,4,Health Sciences
T11097,Cerebral Palsy and Movement Disorders,2738,Psychiatry and Mental health,27,Medicine,4,Health Sciences
T13558,"Philosophy, Science, and History",1207,History and Philosophy of Science,12,Arts and Humanities,2,Social Sciences
T10465,Neurobiology of Language and Bilingualism,2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences
T10574,Crime Patterns and Interventions,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T11399,Muscle metabolism and nutrition,1307,Cell Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T10556,Global Cancer Incidence and Screening,2730,Oncology,27,Medicine,4,Health Sciences
T12379,Cancer Diagnosis and Treatment,2730,Oncology,27,Medicine,4,Health Sciences
T10943,Escherichia coli research studies,1310,Endocrinology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T11227,Diabetic Foot Ulcer Assessment and Management,2712,"Endocrinology, Diabetes and Metabolism",27,Medicine,4,Health Sciences
T10668,Endometrial and Cervical Cancer Treatments,2729,Obstetrics and Gynecology,27,Medicine,4,Health Sciences
T11456,Neuroscience of respiration and sleep,2807,Endocrine and Autonomic Systems,28,Neuroscience,1,Life Sciences
T13006,Spanish History and Politics,1202,History,12,Arts and Humanities,2,Social Sciences
T14342,"Military, Security, and Education Studies",3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T12060,Child Development and Digital Technology,3304,Education,33,Social Sciences,2,Social Sciences
T10331,Video Surveillance and Tracking Methods,1707,Computer Vision and Pattern Recognition,17,Computer Science,3,Physical Sciences
T10841,Economic and Environmental Valuation,2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences
T11088,Marine Bivalve and Aquaculture Studies,2306,Global and Planetary Change,23,Environmental Science,3,Physical Sciences
T10607,Magnetic and transport properties of perovskites and related materials,2504,"Electronic, Optical and Magnetic Materials",25,Materials Science,3,Physical Sciences
T11121,Public Relations and Crisis Communication,3315,Communication,33,Social Sciences,2,Social Sciences
T12180,Polar Research and Ecology,2303,Ecology,23,Environmental Science,3,Physical Sciences
T12496,Color perception and design,3207,Social Psychology,32,Psychology,2,Social Sciences
T14272,Agricultural and Food Production Studies,1106,Food Science,11,Agricultural and Biological Sciences,1,Life Sciences
T14028,Healthcare and Venom Research,2736,Pharmacology,27,Medicine,4,Health Sciences
T11274,Botulinum Toxin and Related Neurological Disorders,2728,Neurology,27,Medicine,4,Health Sciences
T10042,Neural and Behavioral Psychology Studies,2805,Cognitive Neuroscience,28,Neuroscience,1,Life Sciences
T10617,Cellular transport and secretion,1307,Cell Biology,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences
T11762,"Law, Economics, and Judicial Systems",2002,Economics and Econometrics,20,"Economics, Econometrics and Finance",2,Social Sciences
T13559,Edcuational Technology Systems,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences
T10405,Advanced Polymer Synthesis and Characterization,1605,Organic Chemistry,16,Chemistry,3,Physical Sciences
T13245,Samuel Beckett and Modernism,1208,Literature and Literary Theory,12,Arts and Humanities,2,Social Sciences
T12899,Engineering and Technology Innovations,2208,Electrical and Electronic Engineering,22,Engineering,3,Physical Sciences
T10213,Public Policy and Administration Research,3321,Public Administration,33,Social Sciences,2,Social Sciences
T11029,Renal Diseases and Glomerulopathies,2727,Nephrology,27,Medicine,4,Health Sciences
T11189,Transplantation: Methods and Outcomes,2746,Surgery,27,Medicine,4,Health Sciences
T12511,Medieval and Classical Philosophy,1211,Philosophy,12,Arts and Humanities,2,Social Sciences
T10237,Cryptography and Data Security,1702,Artificial Intelligence,17,Computer Science,3,Physical Sciences
T11606,Infrastructure Maintenance and Monitoring,2205,Civil and Structural Engineering,22,Engineering,3,Physical Sciences
T11809,Advanced NMR Techniques and Applications,1607,Spectroscopy,16,Chemistry,3,Physical Sciences
T11495,Animal Virus Infections Studies,1103,Animal Science and Zoology,11,Agricultural and Biological Sciences,1,Life Sciences
T14178,Environmental Science and Water Management,2312,Water Science and Technology,23,Environmental Science,3,Physical Sciences
T10998,Heat Transfer and Optimization,2210,Mechanical Engineering,22,Engineering,3,Physical Sciences
T14493,Criminal Law and Evidence,3308,Law,33,Social Sciences,2,Social Sciences
T13634,Middle East and Rwanda Conflicts,3312,Sociology and Political Science,33,Social Sciences,2,Social Sciences
T10750,Fermentation and Sensory Analysis,1106,Food Science,11,Agricultural and Biological Sciences,1,Life Sciences
